type_name,user_profile,budget_class,upgrade_first,gain_class,price,recommended_upgrade_cost_est,inches,weight_kg,opsys,ram_gb,ssd_gb,hdd_gb,flash_gb,hybrid_gb,total_storage_gb,has_ssd,has_hdd,screen_width,screen_height,is_ips,is_touchscreen,is_retina,is_4k,cpu_brand,cpu_family,cpu_speed_ghz,cpu_score,gpu_brand,gpu_family,gpu_score,is_integrated_gpu,target_ram_gb,target_storage_gb,target_gpu_score,ram_gap_gb,storage_gap_gb,gpu_gap_score,ram_upgrade_cost_est,storage_upgrade_cost_est,gpu_upgrade_cost_est,ram_urgency_score,storage_urgency_score,gpu_urgency_score,performance_score,ram_gap_ratio,storage_gap_ratio,gpu_gap_ratio,upgrade_pressure,total_urgency,price_per_performance,storage_capacity_score,storage_speed_score
Ultrabook,student,low,Storage,Low,71378.68,43.72,13.3,1.37,macOS,8,128,0,0,0,128,1,0,2560,1600,1,0,1,0,Intel,Core i5,2.3,3.5,Intel,Intel Integrated,1.2,1,8,256,0.8,0,128,0.0,0.0,43.72,0.0,0.0,0.341,0.0,12.15028602067677,0.0,0.4980544747081712,0.0,0.1245136186770428,0.11366666666666668,5427.918441299921,128,128.0
Ultrabook,student,medium,Storage,Low,71378.68,43.72,13.3,1.37,macOS,8,128,0,0,0,128,1,0,2560,1600,1,0,1,0,Intel,Core i5,2.3,3.5,Intel,Intel Integrated,1.2,1,8,256,0.8,0,128,0.0,0.0,43.72,0.0,0.0,0.341,0.0,12.15028602067677,0.0,0.4980544747081712,0.0,0.1245136186770428,0.11366666666666668,5427.918441299921,128,128.0
Ultrabook,student,high,Storage,Low,71378.68,43.72,13.3,1.37,macOS,8,128,0,0,0,128,1,0,2560,1600,1,0,1,0,Intel,Core i5,2.3,3.5,Intel,Intel Integrated,1.2,1,8,256,0.8,0,128,0.0,0.0,43.72,0.0,0.0,0.341,0.0,12.15028602067677,0.0,0.4980544747081712,0.0,0.1245136186770428,0.11366666666666668,5427.918441299921,128,128.0
Ultrabook,office,low,Storage,Low,71378.68,43.72,13.3,1.37,macOS,8,128,0,0,0,128,1,0,2560,1600,1,0,1,0,Intel,Core i5,2.3,3.5,Intel,Intel Integrated,1.2,1,8,256,0.6,0,128,0.0,0.0,43.72,0.0,0.0,0.341,0.0,12.15028602067677,0.0,0.4980544747081712,0.0,0.1245136186770428,0.11366666666666668,5427.918441299921,128,128.0
Ultrabook,office,medium,Storage,Low,71378.68,43.72,13.3,1.37,macOS,8,128,0,0,0,128,1,0,2560,1600,1,0,1,0,Intel,Core i5,2.3,3.5,Intel,Intel Integrated,1.2,1,8,256,0.6,0,128,0.0,0.0,43.72,0.0,0.0,0.341,0.0,12.15028602067677,0.0,0.4980544747081712,0.0,0.1245136186770428,0.11366666666666668,5427.918441299921,128,128.0
Ultrabook,office,high,Storage,Low,71378.68,43.72,13.3,1.37,macOS,8,128,0,0,0,128,1,0,2560,1600,1,0,1,0,Intel,Core i5,2.3,3.5,Intel,Intel Integrated,1.2,1,8,256,0.6,0,128,0.0,0.0,43.72,0.0,0.0,0.341,0.0,12.15028602067677,0.0,0.4980544747081712,0.0,0.1245136186770428,0.11366666666666668,5427.918441299921,128,128.0
Ultrabook,programmer,low,RAM,Medium,71378.68,45.84,13.3,1.37,macOS,8,128,0,0,0,128,1,0,2560,1600,1,0,1,0,Intel,Core i5,2.3,3.5,Intel,Intel Integrated,1.2,1,16,512,1.0,8,384,0.0,45.84,43.72,0.0,0.605,0.472,0.0,12.15028602067677,0.47058823529411764,0.7485380116959064,0.0,0.35184038527691774,0.359,5427.918441299921,128,128.0
Ultrabook,programmer,medium,RAM,Medium,71378.68,45.84,13.3,1.37,macOS,8,128,0,0,0,128,1,0,2560,1600,1,0,1,0,Intel,Core i5,2.3,3.5,Intel,Intel Integrated,1.2,1,16,512,1.0,8,384,0.0,45.84,43.72,0.0,0.605,0.472,0.0,12.15028602067677,0.47058823529411764,0.7485380116959064,0.0,0.35184038527691774,0.359,5427.918441299921,128,128.0
Ultrabook,programmer,high,RAM,Medium,71378.68,45.84,13.3,1.37,macOS,8,128,0,0,0,128,1,0,2560,1600,1,0,1,0,Intel,Core i5,2.3,3.5,Intel,Intel Integrated,1.2,1,16,512,1.0,8,384,0.0,45.84,43.72,0.0,0.605,0.472,0.0,12.15028602067677,0.47058823529411764,0.7485380116959064,0.0,0.35184038527691774,0.359,5427.918441299921,128,128.0
Ultrabook,designer,low,RAM,Medium,71378.68,45.84,13.3,1.37,macOS,8,128,0,0,0,128,1,0,2560,1600,1,0,1,0,Intel,Core i5,2.3,3.5,Intel,Intel Integrated,1.2,1,16,1000,2.6,8,872,1.4,45.84,69.98,329.99,0.605,0.536,0.305,12.15028602067677,0.47058823529411764,0.8711288711288712,0.38888888888888884,0.5380436556907146,0.482,5427.918441299921,128,128.0
